Well,Well Intervention Type,"Cost, $","Intervention Effort, man-hr","Increase in Oil Rate, %","Cost of Well Test, $","Well Test Effort, man-hr","Probability of Anomaly if no Well Test is conducted, %"
Cr-01,Hydraulic Fracturing,80000,45,9,15000,0,3
Cr-01,No Intervention,0,0,0,15000,0,3
Cr-01,Risky To Skip Test,15000,0,0,15000,0,100
Cr-01,Safe To Skip Test,15000,0,0,15000,0,0
Cr-01,OK To Skip Test,15000,0,0,15000,0,3
Cr-02,Water Shutoff,50000,75,4,15000,0,5
Cr-02,Acidizing,75000,80,10,15000,0,1
Cr-02,Hydraulic Fracturing,80000,30,9,15000,0,2
Cr-02,No Intervention,0,0,0,15000,0,2
Cr-02,Risky To Skip Test,15000,0,0,15000,0,100
Cr-02,Safe To Skip Test,15000,0,0,15000,0,0
Cr-02,OK To Skip Test,15000,0,0,15000,0,2
Pd-01,Water Shutoff,50000,80,3,15000,0,5
Pd-01,Acidizing,75000,60,8,15000,0,2
Pd-01,Hydraulic Fracturing,80000,30,12,15000,0,3
Pd-01,No Intervention,0,0,0,15000,0,3
Pd-01,Risky To Skip Test,15000,0,0,15000,0,100
Pd-01,Safe To Skip Test,15000,0,0,15000,0,0
Pd-01,OK To Skip Test,15000,0,0,15000,0,3
Pd-02,Water Shutoff,50000,80,3,15000,0,4
Pd-02,Acidizing,75000,60,8,15000,0,5
Pd-02,Hydraulic Fracturing,80000,30,12,15000,0,4
Pd-02,No Intervention,0,0,0,15000,0,4
Pd-02,Risky To Skip Test,15000,0,0,15000,0,100
Pd-02,Safe To Skip Test,15000,0,0,15000,0,0
Pd-02,OK To Skip Test,15000,0,0,15000,0,4
