Day of Production,Oil Rate (mbd),Water Cut (%),GOR (scf/stb),Water Rate (mbd),Liquid Rate (mbd),Gas Rate (mscf)
1097,Pu-02,14.86874494,49.90400197,1929.000047,14.81175954,29.68050448,28681.80969
1097,Pu-03,6.944775814,0,4095,0,6.944775814,28438.85696
1097,Pu-04,7.150136071,5.515999726,5975,0.417426744,7.567562815,42722.06302
1097,Pu-05,12.12179704,0,5034,0,12.12179704,61021.12632
1097,Co-01,24.23949439,22.60000034,876,7.077681963,31.31717635,21233.79709
1097,Co-02,5.399208239,0.1,664,0.005404613,5.404612852,3585.074271
1097,Ga-01,5.901877959,39.33999757,1250,3.827561082,9.729439041,7377.347449
1097,Ga-02,9.973063833,32.22000028,1250,4.74081028,14.71387411,12466.32979
1097,Ga-03,7.738379674,41.4100025,1250,5.469300826,13.2076805,9672.974593
1097,Ga-04,3.88164641,9.809997171,1250,0.422207995,4.303854406,4852.058013
1097,Cr-01,3.908360995,43.30578761,1476,2.985395581,6.893756576,5768.740829
1097,Cr-02,4.336235431,50.20200253,1250,4.371414779,8.70765021,5420.294289
1097,Pd-01,1.740104479,0,3765,0,1.740104479,6551.493365
1097,Pd-02,6.634241825,45.60199969,3765,5.56150395,12.19574578,24977.92047
1098,Pu-01,3.202853503,73.00300197,3419,8.660885937,11.86373944,10950.55613
1098,Pu-02,14.86377025,49.90600197,1929.000047,14.80798852,29.67175877,28672.21352
1098,Pu-03,6.942452278,0,4095,0,6.942452278,28429.34208
1098,Pu-04,7.147743826,5.523999726,5975,0.417927673,7.565671499,42707.76936
1098,Pu-05,12.11774142,0,5034,0,12.11774142,61000.71029
1098,Co-01,24.23462071,22.65000034,876,7.096498641,31.33111935,21229.52774
1098,Co-02,5.398122655,0.15,664,0.008109348,5.406232003,3584.353443
1098,Ga-01,5.898706252,39.35999757,1250,3.828711319,9.727417571,7373.382815
1098,Ga-02,9.968313344,32.23000028,1250,4.740722195,14.70903554,12460.39168
1098,Ga-03,7.735350775,41.4150025,1250,5.468286855,13.20363763,9669.188468
1098,Ga-04,3.879560389,9.814997171,1250,0.422219582,4.301779971,4849.450486
1098,Cr-01,3.903209217,43.30678761,1476,2.98158184,6.884791057,5761.136804
1098,Cr-02,4.330519653,50.20300253,1250,4.365827262,8.696346916,5413.149566
1098,Pd-01,1.739754608,0,3765,0,1.739754608,6550.176099
1098,Pd-02,6.632907921,45.60299969,3765,5.560609888,12.19351781,24972.89832
1099,Pu-01,3.201781914,73.00400197,3419,8.658427551,11.86020947,10946.89236
1099,Pu-02,14.85879723,49.90800197,1929.000047,14.80421845,29.66301569,28662.62056
1099,Pu-03,6.940129519,0,4095,0,6.940129519,28419.83038
1099,Pu-04,7.145352382,5.531999726,5975,0.418428328,7.563780711,42693.48048
1099,Pu-05,12.11368714,0,5034,0,12.11368714,60980.30108
1099,Co-01,24.22974801,22.70000034,876,7.115333643,31.34508166,21225.25926
1099,Co-02,5.397037289,0.2,664,0.010815706,5.407852995,3583.63276
1099,Ga-01,5.895536249,39.37999757,1250,3.82986133,9.72539758,7369.420312
1099,Ga-02,9.963565119,32.24000028,1250,4.740633759,14.70419888,12454.4564
1099,Ga-03,7.73232306,41.4200025,1250,5.467273032,13.19959609,9665.403825
1099,Ga-04,3.877475488,9.819997171,1250,0.422231062,4.29970655,4846.84436
1099,Cr-01,3.89806423,43.30778761,1476,2.977772971,6.875837201,5753.542803
1099,Cr-02,4.32481141,50.20400253,1250,4.360246888,8.685058297,5406.014262
1099,Pd-01,1.739404807,0,3765,0,1.739404807,6548.859097
1099,Pd-02,6.631574285,45.60399969,3765,5.559715969,12.19129025,24967.87718
1100,Pu-01,3.200710683,73.00500197,3419,8.655969874,11.85668056,10943.22983
1100,Pu-02,14.85382588,49.91000197,1929.000047,14.80044935,29.65427523,28653.03082
1100,Pu-03,6.937807537,0,4095,0,6.937807537,28410.32186
1100,Pu-04,7.142961738,5.539999726,5975,0.41892871,7.561890448,42679.19639
1100,Pu-05,12.10963423,0,5034,0,12.10963423,60959.8987
1100,Co-01,24.22487629,22.75000034,876,7.134187009,31.3590633,21220.99163
1100,Co-02,5.395952142,0.25,664,0.01352369,5.409475831,3582.912222
1100,Ga-01,5.89236795,39.39999757,1250,3.831011115,9.723379066,7365.459938
1100,Ga-02,9.958819155,32.25000028,1250,4.740544972,14.69936413,12448.52394
1100,Ga-03,7.729296531,41.4250025,1250,5.466259357,13.19555589,9661.620664
1100,Ga-04,3.875391708,9.824997171,1250,0.422242433,4.297634141,4844.239635
1100,Cr-01,3.892926024,43.30878761,1476,2.973968967,6.866894991,5745.958812
1100,Cr-02,4.31911069,50.20500253,1250,4.354673646,8.673784336,5398.888363
1100,Pd-01,1.739055076,0,3765,0,1.739055076,6547.54236
1100,Pd-02,6.630240917,45.60499969,3765,5.558822193,12.18906311,24962.85705
1101,Pu-01,3.199639811,73.00600197,3419,8.653512905,11.85315272,10939.56851
1101,Pu-02,14.84885618,49.91200197,1929.000047,14.79668121,29.64553739,28643.44428
1101,Pu-03,6.935486332,0,4095,0,6.935486332,28400.81653
1101,Pu-04,7.140571894,5.547999726,5975,0.419428819,7.560000713,42664.91707
1101,Pu-05,12.10558267,0,5034,0,12.10558267,60939.50314
1101,Co-01,24.22000555,22.80000034,876,7.153058774,31.37306433,21216.72486
1101,Co-02,5.394867212,0.3,664,0.016233302,5.411100514,3582.191829
1101,Ga-01,5.889201354,39.41999757,1250,3.832160676,9.72136203,7361.501693
1101,Ga-02,9.954075452,32.26000028,1250,4.740455834,14.69453129,12442.59432
1101,Ga-03,7.726271187,41.4300025,1250,5.465245831,13.19151702,9657.838983
1101,Ga-04,3.873309048,9.829997171,1250,0.422253696,4.295562744,4841.63631
1101,Cr-01,3.887794592,43.30978761,1476,2.970169821,6.857964413,5738.384817
1101,Cr-02,4.313417486,50.20600253,1250,4.349107528,8.662525013,5391.771857
1101,Pd-01,1.738705415,0,3765,0,1.738705415,6546.225888
1101,Pd-02,6.628907817,45.60599969,3765,5.55792856,12.18683638,24957.83793
1102,Pu-01,3.198569297,73.00700197,3419,8.651056643,11.84962594,10935.90843
1102,Pu-02,14.84388815,49.91400197,1929.000047,14.79291402,29.63680217,28633.86095
1102,Pu-03,6.933165903,0,4095,0,6.933165903,28391.31437
1102,Pu-04,7.13818285,5.555999726,5975,0.419928654,7.558111504,42650.64253
1102,Pu-05,12.10153246,0,5034,0,12.10153246,60919.11441
1102,Co-01,24.21513579,22.85000034,876,7.171948977,31.38708477,21212.45895
1102,Co-02,5.393782501,0.35,664,0.018944545,5.412727046,3581.471581
1102,Ga-01,5.88603646,39.43999757,1250,3.833310012,9.719346471,7357.545574
1102,Ga-02,9.949334009,32.27000028,1250,4.740366345,14.68970035,12436.66751
1102,Ga-03,7.723247026,41.4350025,1250,5.464232452,13.18747948,9654.058783
1102,Ga-04,3.871227507,9.834997171,1250,0.422264852,4.293492359,4839.034383
1102,Cr-01,3.882669923,43.31078761,1476,2.966375529,6.849045452,5730.820807
1102,Cr-02,4.307731785,50.20700253,1250,4.343548524,8.651280309,5384.664732
1102,Pd-01,1.738355825,0,3765,0,1.738355825,6544.90968
1102,Pd-02,6.627574985,45.60699969,3765,5.557035069,12.18461005,24952.81982
1103,Pu-01,3.197499141,73.00800197,3419,8.648601089,11.84610023,10932.24956
1103,Pu-02,14.83892178,49.91600197,1929.000047,14.78914779,29.62806958,28624.28082
1103,Pu-03,6.930846251,0,4095,0,6.930846251,28381.8154
1103,Pu-04,7.135794604,5.563999726,5975,0.420428217,7.556222821,42636.37276
1103,Pu-05,12.09748361,0,5034,0,12.09748361,60898.73251
1103,Co-01,24.21026701,22.90000034,876,7.190857656,31.40112467,21208.1939
1103,Co-02,5.392698008,0.4,664,0.021657422,5.414355429,3580.751477
1103,Ga-01,5.882873266,39.45999757,1250,3.834459125,9.717332391,7353.591582
1103,Ga-02,9.944594824,32.28000028,1250,4.740276506,14.68487133,12430.74353
1103,Ga-03,7.72022405,41.4400025,1250,5.463219222,13.18344327,9650.280062
1103,Ga-04,3.869147084,9.839997171,1250,0.4222759,4.291422984,4836.433855
1103,Cr-01,3.87755201,43.31178761,1476,2.962586082,6.840138092,5723.266766
1103,Cr-02,4.302053579,50.20800253,1250,4.337996626,8.640050206,5377.566974
1103,Pd-01,1.738006305,0,3765,0,1.738006305,6543.593737
1103,Pd-02,6.626242421,45.60799969,3765,5.556141722,12.18238414,24947.80272
1104,Pu-01,3.196429343,73.00900197,3419,8.646146242,11.84257559,10928.59192
1104,Pu-02,14.83395708,49.91800197,1929.000047,14.78538253,29.6193396,28614.7039
1104,Pu-03,6.928527375,0,4095,0,6.928527375,28372.3196
1104,Pu-04,7.133407158,5.571999726,5975,0.420927507,7.554334665,42622.10777
1104,Pu-05,12.09343612,0,5034,0,12.09343612,60878.35742
1104,Co-01,24.20539921,22.95000034,876,7.209784849,31.41518406,21203.92971
1104,Co-02,5.391613733,0.45,664,0.024371936,5.415985668,3580.031518
1104,Ga-01,5.879711772,39.47999757,1250,3.835608016,9.715319788,7349.639715
1104,Ga-02,9.939857896,32.29000028,1250,4.740186318,14.68004421,12424.82237
1104,Ga-03,7.717202256,41.4450025,1250,5.46220614,13.1794084,9646.50282
1104,Ga-04,3.86706778,9.844997171,1250,0.422286841,4.289354621,4833.834725
1104,Cr-01,3.872440842,43.31278761,1476,2.958801476,6.831242318,5715.722683
1104,Cr-02,4.296382858,50.20900253,1250,4.332451825,8.628834683,5370.478573
1104,Pd-01,1.737656855,0,3765,0,1.737656855,6542.278059
1104,Pd-02,6.624910125,45.60899969,3765,5.555248517,12.18015864,24942.78662
1105,Pu-01,3.195359903,73.01000197,3419,8.643692102,11.83905201,10924.93551
1105,Pu-02,14.82899403,49.92000197,1929.000047,14.78161822,29.61061225,28605.13019
1105,Pu-03,6.926209275,0,4095,0,6.926209275,28362.82698
1105,Pu-04,7.131020511,5.579999726,5975,0.421426524,7.552447034,42607.84755
1105,Pu-05,12.08938998,0,5034,0,12.08938998,60857.98915
1105,Co-01,24.20053238,23.00000034,876,7.228730592,31.42926298,21199.66637
1105,Co-02,5.390529676,0.5,664,0.027088089,5.417617764,3579.311705
1105,Ga-01,5.876551977,39.49999757,1250,3.836756686,9.713308663,7345.689972
1105,Ga-02,9.935123225,32.30000028,1250,4.740095779,14.675219,12418.90403
1105,Ga-03,7.714181646,41.4500025,1250,5.461193206,13.17537485,9642.727057
1105,Ga-04,3.864989593,9.849997171,1250,0.422297675,4.287287267,4831.236991
1105,Cr-01,3.867336412,43.31378761,1476,2.955021704,6.822358116,5708.188544
1105,Cr-02,4.290719612,50.21000253,1250,4.32691411,8.617633722,5363.399515
1105,Pd-01,1.737307475,0,3765,0,1.737307475,6540.962645
1105,Pd-02,6.623578097,45.60999969,3765,5.554355455,12.17793355,24937.77154
1106,Pu-01,3.194290821,73.01100197,3419,8.641238669,11.83552949,10921.28032
1106,Pu-02,14.82403265,49.92200197,1929.000047,14.77785487,29.60188751,28595.55967
1106,Pu-03,6.923891951,0,4095,0,6.923891951,28353.33754
1106,Pu-04,7.128634662,5.587999726,5975,0.421925268,7.55055993,42593.5921
1106,Pu-05,12.08534519,0,5034,0,12.08534519,60837.62769
1106,Co-01,24.19566654,23.05000034,876,7.247694925,31.44336146,21195.40389
1106,Co-02,5.389445836,0.55,664,0.029805884,5.419251721,3578.592035
1106,Ga-01,5.873393881,39.51999757,1250,3.837905135,9.711299015,7341.742351
1106,Ga-02,9.930390809,32.31000028,1250,4.740004892,14.6703957,12412.98851
1106,Ga-03,7.711162217,41.4550025,1250,5.46018042,13.17134264,9638.952771
1106,Ga-04,3.862912523,9.854997171,1250,0.422308401,4.285220923,4828.640653
1106,Cr-01,3.86223871,43.31478761,1476,2.95124676,6.81348547,5700.664336
1106,Cr-02,4.285063831,50.21100253,1250,4.321383475,8.606447305,5356.329788
1106,Pd-01,1.736958166,0,3765,0,1.736958166,6539.647496
1106,Pd-02,6.622246337,45.61099969,3765,5.553462536,12.17570887,24932.75746
1107,Pu-01,3.193222097,73.01200197,3419,8.638785943,11.83200804,10917.62635
1107,Pu-02,14.81907292,49.92400197,1929.000047,14.77409248,29.5931654,28585.99236
1107,Pu-03,6.921575401,0,4095,0,6.921575401,28343.85127
1107,Pu-04,7.126249611,5.595999726,5975,0.42242374,7.548673351,42579.34142
1107,Pu-05,12.08130176,0,5034,0,12.08130176,60817.27304
1107,Co-01,24.19080167,23.10000034,876,7.266677886,31.45747956,21191.14226
1107,Co-02,5.388362215,0.6,664,0.032525325,5.42088754,3577.872511
1107,Ga-01,5.870237481,39.53999757,1250,3.839053364,9.709290845,7337.796851
1107,Ga-02,9.925660648,32.32000028,1250,4.739913656,14.6655743,12407.07581
1107,Ga-03,7.708143971,41.4600025,1250,5.459167783,13.16731175,9635.179963
1107,Ga-04,3.860836569,9.859997171,1250,0.42231902,4.283155588,4826.045711
1107,Cr-01,3.857147728,43.31578761,1476,2.947476638,6.804624365,5693.150046
1107,Cr-02,4.279415504,50.21200253,1250,4.315859908,8.595275412,5349.269381
1107,Pd-01,1.736608927,0,3765,0,1.736608927,6538.332611
1107,Pd-02,6.620914844,45.61199969,3765,5.552569759,12.1734846,24927.74439
1108,Pu-01,3.19215373,73.01300197,3419,8.636333923,11.82848765,10913.9736
1108,Pu-02,14.81411485,49.92600197,1929.000047,14.77033104,29.5844459,28576.42825
1108,Pu-03,6.919259627,0,4095,0,6.919259627,28334.36817
1108,Pu-04,7.123865358,5.603999726,5975,0.42292194,7.546787298,42565.09551
1108,Pu-05,12.07725968,0,5034,0,12.07725968,60796.92521
1108,Co-01,24.18593778,23.15000034,876,7.285679512,31.47161729,21186.8815
1108,Co-02,5.387278812,0.65,664,0.035246414,5.422525226,3577.153131
1108,Ga-01,5.867082778,39.55999757,1250,3.840201375,9.707284152,7333.853472
1108,Ga-02,9.920932739,32.33000028,1250,4.739822071,14.66075481,12401.16592
1108,Ga-03,7.705126906,41.4650025,1250,5.458155293,13.1632822,9631.408632
1108,Ga-04,3.85876173,9.864997171,1250,0.422329532,4.281091262,4823.452163
1108,Cr-01,3.852063456,43.31678761,1476,2.943711331,6.795774787,5685.645661
1108,Cr-02,4.273774624,50.21300253,1250,4.310343401,8.584118025,5342.218279
1108,Pd-01,1.736259758,0,3765,0,1.736259758,6537.017991
1108,Pd-02,6.61958362,45.61299969,3765,5.551677126,12.17126075,24922.73233
1109,Pu-01,3.191085721,73.01400197,3419,8.633882609,11.82496833,10910.32208
1109,Pu-02,14.80915845,49.92800197,1929.000047,14.76657056,29.57572901,28566.86734
1109,Pu-03,6.916944628,0,4095,0,6.916944628,28324.88825
1109,Pu-04,7.121481903,5.611999726,5975,0.423419867,7.54490177,42550.85437
1109,Pu-05,12.07321895,0,5034,0,12.07321895,60776.58418
1109,Co-01,24.18107487,23.20000034,876,7.304699841,31.48577471,21182.62159
1109,Co-02,5.386195626,0.7,664,0.037969153,5.42416478,3576.433896
1109,Ga-01,5.86392977,39.57999757,1250,3.841349167,9.705278937,7329.912213
1109,Ga-02,9.916207083,32.34000028,1250,4.739730138,14.65593722,12395.25885
1109,Ga-03,7.702111021,41.4700025,1250,5.457142952,13.15925397,9627.638777
1109,Ga-04,3.856688007,9.869997171,1250,0.422339937,4.279027944,4820.860009
1109,Cr-01,3.846985886,43.31778761,1476,2.939950833,6.786936719,5678.151168
1109,Cr-02,4.268141178,50.21400253,1250,4.304833946,8.572975124,5335.176473
1109,Pd-01,1.73591066,0,3765,0,1.73591066,6535.703634
1109,Pd-02,6.618252662,45.61399969,3765,5.550784635,12.1690373,24917.72127
1110,Pu-01,3.190018069,73.01500197,3419,8.631432001,11.82145007,10906.67178
1110,Pu-02,14.8042037,49.93000197,1929.000047,14.76281104,29.56701474,28557.30963
1110,Pu-03,6.914630403,0,4095,0,6.914630403,28315.4115
1110,Pu-04,7.119099245,5.619999726,5975,0.423917522,7.543016767,42536.61799
1110,Pu-05,12.06917957,0,5034,0,12.06917957,60756.24996
1110,Co-01,24.17621294,23.25000034,876,7.323738914,31.49995185,21178.36253
1110,Co-02,5.385112659,0.75,664,0.040693547,5.425806205,3575.714805
1110,Ga-01,5.860778457,39.59999757,1250,3.842496743,9.7032752,7325.973071
1110,Ga-02,9.911483677,32.35000028,1250,4.739637857,14.65112153,12389.3546
1110,Ga-03,7.699096318,41.4750025,1250,5.45613076,13.15522708,9623.870397
1110,Ga-04,3.854615398,9.874997171,1250,0.422350235,4.276965634,4818.269248
1110,Cr-01,3.841915009,43.31878761,1476,2.936195139,6.778110148,5670.666554
1110,Cr-02,4.262515158,50.21500253,1250,4.299331533,8.561846692,5328.143948
1110,Pd-01,1.735561631,0,3765,0,1.735561631,6534.389543
1110,Pd-02,6.616921973,45.61499969,3765,5.549892286,12.16681426,24912.71123
1111,Pu-01,3.188950774,73.01600197,3419,8.628982099,11.81793287,10903.0227
1111,Pu-02,14.79925061,49.93200197,1929.000047,14.75905248,29.55830309,28547.75512
1111,Pu-03,6.912316952,0,4095,0,6.912316952,28305.93792
1111,Pu-04,7.116717385,5.627999726,5975,0.424414905,7.54113229,42522.38638
1111,Pu-05,12.06514155,0,5034,0,12.06514155,60735.92254
1111,Co-01,24.17135198,23.30000034,876,7.342796767,31.51414875,21174.10434
1111,Co-02,5.384029909,0.8,664,0.043419596,5.427449505,3574.995859
1111,Ga-01,5.857628837,39.61999757,1250,3.843644103,9.701272939,7322.036046
1111,Ga-02,9.906762521,32.36000028,1250,4.739545229,14.64630775,12383.45315
1111,Ga-03,7.696082794,41.4800025,1250,5.455118715,13.15120151,9620.103492
1111,Ga-04,3.852543903,9.879997171,1250,0.422360427,4.27490433,4815.679879
1111,Cr-01,3.836850817,43.31978761,1476,2.932444242,6.769295058,5663.191805
1111,Cr-02,4.256896555,50.21600253,1250,4.293836153,8.550732708,5321.120693
1111,Pd-01,1.735212673,0,3765,0,1.735212673,6533.075715
1111,Pd-02,6.615591551,45.61599969,3765,5.549000081,12.16459163,24907.70219
1112,Pu-01,3.187883836,73.01700197,3419,8.626532903,11.81441674,10899.37484
1112,Pu-02,14.79429917,49.93400197,1929.000047,14.75529487,29.54959405,28538.2038
1112,Pu-03,6.910004276,0,4095,0,6.910004276,28296.46751
1112,Pu-04,7.114336322,5.635999726,5975,0.424912016,7.539248337,42508.15952
1112,Pu-05,12.06110487,0,5034,0,12.06110487,60715.60192
1112,Co-01,24.166492,23.35000034,876,7.361873439,31.52836544,21169.847
1112,Co-02,5.382947376,0.85,664,0.046147305,5.429094681,3574.277058
1112,Ga-01,5.854480909,39.63999757,1250,3.844791247,9.699272156,7318.101137
1112,Ga-02,9.902043615,32.37000028,1250,4.739452253,14.64149587,12377.55452
1112,Ga-03,7.69307045,41.4850025,1250,5.454106819,13.14717727,9616.338062
1112,Ga-04,3.850473521,9.884997171,1250,0.422370512,4.272844033,4813.091902
1112,Cr-01,3.831793299,43.32078761,1476,2.928698136,6.760491435,5655.72691
1112,Cr-02,4.251285357,50.21700253,1250,4.288347798,8.539633155,5314.106696
1112,Pd-01,1.734863785,0,3765,0,1.734863785,6531.762151
1112,Pd-02,6.614261397,45.61699969,3765,5.548108018,12.16236941,24902.69416
1113,Pu-01,3.186817255,73.01800197,3419,8.624084412,11.81090167,10895.7282
1113,Pu-02,14.7893494,49.93600197,1929.000047,14.75153823,29.54088762,28528.65568
1113,Pu-03,6.907692373,0,4095,0,6.907692373,28287.00027
1113,Pu-04,7.111956055,5.643999726,5975,0.425408855,7.53736491,42493.93743
1113,Pu-05,12.05706955,0,5034,0,12.05706955,60695.28811
1113,Co-01,24.161633,23.40000034,876,7.38096897,31.54260197,21165.59051
1113,Co-02,5.381865062,0.9,664,0.048876676,5.430741738,3573.558401
1113,Ga-01,5.851334674,39.65999757,1250,3.845938177,9.697272851,7314.168342
1113,Ga-02,9.897326956,32.38000028,1250,4.739358931,14.63668589,12371.65869
1113,Ga-03,7.690059284,41.4900025,1250,5.453095071,13.14315436,9612.574105
1113,Ga-04,3.848404252,9.889997171,1250,0.42238049,4.270784743,4810.505315
1113,Cr-01,3.826742448,43.32178761,1476,2.924956814,6.751699263,5648.271854
1113,Cr-02,4.245681556,50.21800253,1250,4.282866457,8.528548013,5307.101944
1113,Pd-01,1.734514967,0,3765,0,1.734514967,6530.448852
1113,Pd-02,6.61293151,45.61799969,3765,5.547216097,12.16014761,24897.68713
1114,Pu-01,3.185751032,73.01900197,3419,8.621636626,11.80738766,10892.08278
1114,Pu-02,14.78440128,49.93800197,1929.000047,14.74778253,29.53218381,28519.11076
1114,Pu-03,6.905381243,0,4095,0,6.905381243,28277.53619
1114,Pu-04,7.109576584,5.651999726,5975,0.425905422,7.535482007,42479.72009
1114,Pu-05,12.05303557,0,5034,0,12.05303557,60674.98108
1114,Co-01,24.15677498,23.45000034,876,7.400083398,31.55685838,21161.33488
1114,Co-02,5.380782965,0.95,664,0.051607711,5.432390676,3572.839889
1114,Ga-01,5.848190129,39.67999757,1250,3.847084893,9.695275022,7310.237661
1114,Ga-02,9.892612543,32.39000028,1250,4.739265262,14.63187781,12365.76568
1114,Ga-03,7.687049298,41.4950025,1250,5.452083472,13.13913277,9608.811622
1114,Ga-04,3.846336095,9.894997171,1250,0.422390362,4.268726457,4807.920119
1114,Cr-01,3.821698255,43.32278761,1476,2.921220272,6.742918527,5640.826625
1114,Cr-02,4.240085141,50.21900253,1250,4.277392123,8.517477264,5300.106426
1114,Pd-01,1.73416622,0,3765,0,1.73416622,6529.135817
1114,Pd-02,6.61160189,45.61899969,3765,5.546324319,12.15792621,24892.68112
1115,Pu-01,3.184685164,73.02000197,3419,8.619189545,11.80387471,10888.43858
1115,Pu-02,14.77945481,49.94000197,1929.000047,14.74402779,29.5234826,28509.56903
1115,Pu-03,6.903070887,0,4095,0,6.903070887,28268.07528
1115,Pu-04,7.10719791,5.659999726,5975,0.426401718,7.533599628,42465.50751
1115,Pu-05,12.04900295,0,5034,0,12.04900295,60654.68086
1115,Co-01,24.15191793,23.50000034,876,7.419216761,31.57113469,21157.08011
1115,Co-02,5.379701085,1,664,0.054340415,5.4340415,3572.121521
1115,Ga-01,5.845047274,39.69999757,1250,3.848231397,9.693278671,7306.309093
1115,Ga-02,9.887900377,32.40000028,1250,4.739171247,14.62707162,12359.87547
1115,Ga-03,7.684040489,41.5000025,1250,5.451072021,13.13511251,9605.050612
1115,Ga-04,3.84426905,9.899997171,1250,0.422400128,4.266669177,4805.336312
1115,Cr-01,3.816660711,43.32378761,1476,2.917488502,6.734149213,5633.391209
1115,Cr-02,4.234496103,50.22000253,1250,4.271924786,8.506420889,5293.120129
1115,Pd-01,1.733817542,0,3765,0,1.733817542,6527.823045
1115,Pd-02,6.610272538,45.61999969,3765,5.545432684,12.15570522,24887.6761
1116,Pu-01,3.183619654,73.02100197,3419,8.616743169,11.80036282,10884.7956
1116,Pu-02,14.77451,49.94200197,1929.000047,14.74027401,29.51478401,28500.03049
1116,Pu-03,6.900761304,0,4095,0,6.900761304,28258.61754
1116,Pu-04,7.104820031,5.667999726,5975,0.426897743,7.531717774,42451.29969
1116,Pu-05,12.04497168,0,5034,0,12.04497168,60634.38742
1116,Co-01,24.14706186,23.55000034,876,7.4383691,31.58543096,21152.82619
1116,Co-02,5.378619424,1.05,664,0.057074789,5.435694213,3571.403297
1116,Ga-01,5.841906108,39.71999757,1250,3.849377688,9.691283797,7302.382636
1116,Ga-02,9.883190454,32.41000028,1250,4.739076886,14.62226734,12353.98807
1116,Ga-03,7.681032859,41.5050025,1250,5.450060718,13.13109358,9601.291073
1116,Ga-04,3.842203115,9.904997171,1250,0.422409787,4.264612902,4802.753893
1116,Cr-01,3.811629807,43.32478761,1476,2.913761499,6.725391306,5625.965595
1116,Cr-02,4.228914432,50.22100253,1250,4.266464437,8.49537887,5286.14304
1116,Pd-01,1.733468934,0,3765,0,1.733468934,6526.510538
1116,Pd-02,6.608943453,45.62099969,3765,5.544541192,12.15348464,24882.6721
1117,Pu-01,3.1825545,73.02200197,3419,8.614297498,11.796852,10881.15383
1117,Pu-02,14.76956684,49.94400197,1929.000047,14.73652119,29.50608803,28490.49514
1117,Pu-03,6.898452494,0,4095,0,6.898452494,28249.16296
1117,Pu-04,7.102442948,5.675999726,5975,0.427393496,7.529836444,42437.09662
1117,Pu-05,12.04094175,0,5034,0,12.04094175,60614.10077
1117,Co-01,24.14220677,23.60000034,876,7.457540452,31.59974722,21148.57313
1117,Co-02,5.377537979,1.1,664,0.059810837,5.437348816,3570.685218
1117,Ga-01,5.838766631,39.73999757,1250,3.850523769,9.6892904,7298.458288
1117,Ga-02,9.878482776,32.42000028,1250,4.738982179,14.61746495,12348.10347
1117,Ga-03,7.678026405,41.5100025,1250,5.449049563,13.12707597,9597.533006
1117,Ga-04,3.84013829,9.909997171,1250,0.422419341,4.262557631,4800.172863
1117,Cr-01,3.806605535,43.32578761,1476,2.910039256,6.716644791,5618.549769
1117,Cr-02,4.223340119,50.22200253,1250,4.261011068,8.484351187,5279.175149
1117,Pd-01,1.733120397,0,3765,0,1.733120397,6525.198294
1117,Pd-02,6.607614635,45.62199969,3765,5.543649841,12.15126448,24877.6691
